sector,state,collateral_type,business_age_months,monthly_revenue,monthly_expenses,loan_amount,loan_tenor_months,interest_rate,avg_monthly_txn_count,avg_txn_value,airtime_topup_freq_monthly,mobile_money_balance_volatility,utility_payment_consistency,prior_loans_count,prior_default_count,bvn_linked,has_registered_business,owner_age,default
Agric,Oyo,None,125,981174.71,684210.53,1410149.83,18,0.356,58,16916.81,11,0.428,0.475,2,0,1,1,26,0
Fashion,Kaduna,None,27,1730384.52,972477.62,3412032.66,3,0.237,60,28839.74,7,0.166,0.832,0,0,1,0,54,0
Trading,Lagos,Vehicle,52,2378885.52,1901805.51,1687810.59,9,0.309,66,36043.72,5,0.465,0.793,1,1,1,0,29,1
Agric,Oyo,Property,112,1356040.27,697165.44,3754009.48,6,0.343,55,24655.28,6,0.438,0.757,0,0,1,1,22,0
Agric,Kaduna,Inventory,87,336329.67,310449.73,592312.79,12,0.364,60,5605.49,6,0.83,0.758,1,0,1,1,29,1
Agric,Oyo,Inventory,43,216002.35,199359.25,156369.28,6,0.213,58,3724.18,7,0.328,0.388,0,0,1,1,53,0
Transport,Abuja,None,36,1164751.16,630671.02,2427956.55,6,0.335,63,18488.11,9,0.594,0.888,2,0,1,0,44,0
Food Services,Lagos,None,100,2814989.24,2105327.86,3980153.51,6,0.404,56,50267.66,6,0.656,0.562,1,0,1,1,43,1
Food Services,Oyo,Property,149,713321.36,612618.69,986892.68,18,0.391,62,11505.18,8,0.806,0.744,2,0,1,1,51,1
Fashion,Enugu,None,74,184489.12,130813.91,280524.28,24,0.238,61,3024.41,11,0.064,0.428,0,0,0,1,30,1
Agric,Oyo,Inventory,166,4762486.01,3407307.45,8431068.58,6,0.441,61,78073.54,9,0.639,0.576,3,0,1,1,53,0
Food Services,Delta,Vehicle,120,1133095.81,1061246.21,2320937.05,3,0.154,48,23606.16,9,0.84,0.377,5,0,1,1,37,1
Tech,Oyo,Inventory,73,850880.83,513701.13,736890.2,12,0.384,67,12699.71,10,0.651,0.941,1,0,1,1,54,0
Tech,Oyo,Inventory,127,254950.83,187857.86,608291.2,12,0.245,57,4472.82,11,0.472,0.636,2,0,1,1,47,0
Transport,Lagos,None,81,740139.97,408361.62,420294.89,24,0.432,69,10726.67,5,0.421,0.271,0,0,1,1,35,0
Fashion,Oyo,None,136,1353488.3,860951.29,3042549.86,18,0.408,51,26538.99,4,0.814,0.919,0,0,1,1,50,0
Food Services,Rivers,None,176,1147066.82,1012753.32,1099169.55,18,0.414,52,22058.98,9,0.206,0.799,1,1,1,1,47,0
Transport,Enugu,None,142,395577.34,325323.55,639672.34,3,0.226,46,8599.51,10,0.236,0.537,0,0,1,1,39,0
Transport,Rivers,None,26,692900.19,537275.99,1319197.22,3,0.389,60,11548.34,9,0.183,0.421,0,0,1,1,61,0
Fashion,Delta,None,13,418986.5,230966.25,887601.77,6,0.25,52,8057.43,5,0.643,0.674,1,0,1,1,31,0
Agric,Abuja,None,145,3261655.43,2879436.21,8081039.94,9,0.284,66,49419.02,10,0.153,0.888,3,0,1,0,32,0
Retail,Kano,None,152,1632113.86,1035003.67,2922285.63,18,0.421,62,26324.42,12,0.078,0.674,2,0,0,0,47,1
Transport,Rivers,Vehicle,102,455020.89,337053.21,1228701.04,24,0.366,40,11375.52,4,0.527,0.206,1,0,1,1,30,0
Trading,Rivers,None,44,254836.47,154192.28,735872.86,18,0.342,69,3693.28,5,0.821,0.448,2,1,0,0,48,1
Retail,Delta,Inventory,158,936620.6,687789.97,2753774.29,24,0.189,63,14866.99,10,0.327,0.707,2,0,1,1,48,0
Fashion,Abuja,Property,81,468112.7,352471.44,608033.31,9,0.311,64,7314.26,5,0.428,0.557,3,1,1,1,63,1
Food Services,Oyo,None,53,500580.65,326984.69,290554.76,12,0.187,60,8343.01,11,0.824,0.636,1,0,1,0,25,0
Tech,Delta,Inventory,66,262579.0,191069.48,601172.5,3,0.173,56,4688.91,15,0.789,0.482,1,0,1,1,40,0
Retail,Oyo,Property,54,293529.13,200399.26,331612.85,3,0.434,59,4975.07,10,0.471,0.237,2,0,1,1,59,0
Tech,Lagos,Inventory,51,844418.19,687249.11,2042830.24,18,0.328,58,14558.93,9,0.398,0.968,2,0,1,0,34,0
Transport,Abuja,None,59,573669.89,427241.28,294006.6,9,0.152,63,9105.87,7,0.083,0.605,2,2,0,1,30,0
Tech,Kano,Equipment,121,6898833.85,6175382.43,16853561.39,18,0.291,59,116929.39,10,0.588,0.369,3,0,1,0,32,1
Trading,Abuja,Equipment,3,1245226.61,650430.27,840976.45,24,0.236,55,22640.48,4,0.149,0.355,0,0,1,1,59,0
Tech,Rivers,Inventory,65,258712.93,132457.76,698102.58,12,0.196,62,4172.79,9,0.616,0.964,3,0,1,0,34,0
Retail,Oyo,None,31,183125.57,107100.48,389742.61,3,0.396,67,2733.22,11,0.331,0.403,1,0,1,1,47,1
Transport,Kano,None,117,1043774.73,577582.62,943865.01,12,0.196,52,20072.59,8,0.741,0.689,4,0,1,0,46,0
Food Services,Abuja,Property,179,510333.45,375938.72,903063.03,18,0.2,70,7290.48,10,0.875,0.816,2,1,1,1,23,0
Food Services,Kano,None,142,2417700.54,1426589.16,4262414.33,6,0.22,62,38995.17,8,0.273,0.661,1,0,1,1,61,0
Transport,Abuja,None,45,940039.76,476808.74,2535847.92,9,0.364,52,18077.69,3,0.284,0.96,1,0,1,1,49,0
Retail,Rivers,Inventory,92,122483.51,76819.2,224247.93,12,0.207,65,1884.36,11,0.697,0.621,2,0,1,0,23,0
Tech,Kano,Vehicle,4,291419.22,212485.81,546758.5,18,0.246,62,4700.31,4,0.569,0.28,1,0,1,1,44,0
Agric,Delta,None,74,397220.23,326282.58,515393.12,6,0.421,62,6406.78,6,0.42,0.393,2,1,1,1,41,0
Food Services,Oyo,None,50,1085806.13,757108.36,2520439.12,3,0.32,44,24677.41,9,0.461,0.545,3,1,1,0,30,1
Fashion,Oyo,Inventory,90,282807.81,263922.31,176965.72,12,0.202,66,4284.97,5,0.501,0.695,2,0,1,0,62,0
Fashion,Delta,Equipment,74,836963.58,493602.37,2443835.49,3,0.408,70,11956.62,11,0.451,0.521,1,0,0,1,38,0
Retail,Oyo,Inventory,123,219139.8,160263.05,441704.15,9,0.304,67,3270.74,10,0.455,0.585,3,1,0,1,49,0
Retail,Rivers,Property,99,733488.26,450312.41,1917458.04,6,0.4,71,10330.82,3,0.742,0.399,0,0,1,0,48,0
Fashion,Kano,None,169,1017667.08,878247.26,2495998.67,9,0.174,58,17545.98,5,0.09,0.619,4,0,1,1,41,0
Tech,Kano,None,13,2717870.66,1588571.78,2841210.65,24,0.199,56,48533.4,10,0.506,0.96,1,0,1,1,56,0
Transport,Kano,Inventory,170,909834.4,848621.19,1112445.56,24,0.178,69,13186.01,8,0.204,0.906,2,0,1,1,37,0
Tech,Rivers,None,142,349737.65,287649.75,417946.31,18,0.294,56,6245.32,8,0.499,0.772,2,0,1,0,59,0
Tech,Lagos,Inventory,128,2796011.73,2098656.45,2974383.72,9,0.266,71,39380.45,13,0.692,0.257,0,0,1,1,48,0
Transport,Abuja,Property,148,618554.0,457455.71,333875.8,12,0.275,59,10483.97,10,0.217,0.584,3,1,1,1,21,0
Fashion,Delta,None,10,1463307.86,970336.43,3756865.32,3,0.26,58,25229.45,10,0.48,0.724,1,1,1,0,48,1
Retail,Enugu,Equipment,39,420161.23,214056.07,775042.51,24,0.277,65,6464.02,4,0.255,0.595,1,1,1,1,23,0
Fashion,Kaduna,None,1,791512.09,721705.23,1565579.36,24,0.264,62,12766.32,9,0.639,0.703,1,0,1,1,23,1
Agric,Rivers,Inventory,143,354640.14,304182.58,613264.47,9,0.198,48,7388.34,5,0.454,0.236,0,0,1,1,23,0
Retail,Kano,Inventory,64,974845.19,546582.18,790510.71,3,0.321,58,16807.68,11,0.243,0.219,3,0,1,1,54,0
Food Services,Oyo,Inventory,65,1503709.01,834462.0,2391284.11,24,0.411,74,20320.39,5,0.083,0.704,0,0,0,1,46,0
Food Services,Kano,None,110,467278.47,298425.2,576660.43,3,0.448,67,6974.31,8,0.894,0.305,1,0,0,1,61,1
Food Services,Kano,Vehicle,76,444227.84,374667.42,1212807.02,3,0.185,58,7659.1,6,0.444,0.5,0,0,1,0,51,0
Retail,Abuja,Vehicle,115,1005641.69,730522.52,2265731.14,3,0.273,61,16485.93,9,0.537,0.922,1,0,1,1,55,0
Fashion,Lagos,Property,168,347140.76,275766.69,314732.91,6,0.222,63,5510.17,2,0.82,0.623,1,1,1,0,25,0
Food Services,Kaduna,Property,60,186064.87,93551.08,419537.83,24,0.32,58,3208.02,4,0.126,0.508,1,0,1,1,37,0
Food Services,Delta,None,160,1002369.02,917836.28,1875351.64,9,0.258,63,15910.62,6,0.588,0.416,2,0,1,0,59,0
Trading,Lagos,Inventory,96,662034.23,380377.47,466200.07,6,0.413,89,7438.59,8,0.087,0.83,1,0,1,0,28,0
Fashion,Kano,None,68,649544.45,417985.47,437713.56,24,0.431,68,9552.12,6,0.733,0.814,1,0,1,0,28,0
Food Services,Oyo,Property,165,1165852.78,1079833.54,1012651.95,9,0.248,52,22420.25,6,0.357,0.235,2,1,1,1,54,0
Fashion,Kaduna,None,88,1322025.14,1097019.23,3339757.5,18,0.257,56,23607.59,9,0.643,0.401,1,0,1,1,36,1
Agric,Delta,None,23,631023.45,460634.51,1624805.0,12,0.31,54,11685.62,6,0.863,0.873,1,0,1,0,24,0
Fashion,Kano,Equipment,52,265560.39,235900.54,536551.96,3,0.341,59,4501.02,8,0.116,0.659,0,0,1,0,32,0
Trading,Enugu,None,152,410557.75,216597.15,221317.64,18,0.376,59,6958.61,8,0.118,0.356,0,0,1,0,61,0
Tech,Delta,Equipment,93,1234859.23,659824.52,1596431.06,24,0.18,65,18997.83,9,0.581,0.976,2,1,1,1,43,1
Transport,Kaduna,None,101,824689.64,469926.64,1238907.96,24,0.165,54,15272.03,10,0.156,0.475,2,1,1,1,38,0
Tech,Abuja,Equipment,123,444727.3,275311.53,538548.4,18,0.353,53,8391.08,2,0.735,0.479,1,0,0,1,36,0
Transport,Kaduna,Property,35,360069.43,294919.67,703150.44,18,0.294,41,8782.18,11,0.849,0.224,1,0,1,0,46,0
Agric,Kano,Equipment,17,1271923.05,940698.94,833781.38,18,0.352,59,21558.02,12,0.593,0.868,0,0,0,1,40,0
Transport,Lagos,None,79,597501.96,413304.09,328581.18,24,0.24,61,9795.11,10,0.333,0.52,1,0,1,1,47,0
Transport,Kaduna,None,165,1436104.94,1223798.11,2828648.56,12,0.202,66,21759.17,9,0.824,0.42,1,0,1,1,51,1
Transport,Kaduna,None,23,1609448.64,1034428.48,1869094.4,24,0.183,60,26824.14,9,0.29,0.398,0,0,1,0,52,0
Retail,Abuja,None,129,550424.03,296379.04,1219917.48,9,0.386,61,9023.34,6,0.789,0.505,0,0,1,0,31,0
Retail,Kano,Inventory,176,1714586.9,1163424.15,4190419.68,6,0.271,58,29561.84,9,0.469,0.765,2,0,0,0,39,0
Agric,Abuja,None,18,826180.69,698027.73,1675199.42,3,0.175,58,14244.49,4,0.725,0.306,0,0,1,0,39,1
Tech,Lagos,None,24,928181.35,662107.56,2760632.87,9,0.224,59,15731.89,4,0.646,0.964,0,0,1,0,48,0
Transport,Delta,None,156,101734.91,95601.98,214387.71,12,0.408,52,1956.44,9,0.552,0.77,3,1,1,1,26,1
Retail,Lagos,Vehicle,20,304422.2,269491.97,740316.99,9,0.294,66,4612.46,12,0.502,0.625,1,0,1,0,42,0
Retail,Oyo,None,134,319647.81,273595.91,672073.37,3,0.406,63,5073.77,9,0.744,0.304,3,0,1,1,21,1
Retail,Lagos,None,143,547550.92,464285.55,1376326.33,9,0.434,69,7935.52,3,0.194,0.351,3,0,1,1,61,1
Agric,Enugu,Inventory,57,808483.79,615665.12,1193730.16,12,0.17,62,13040.06,6,0.895,0.297,1,0,1,1,48,0
Transport,Delta,None,53,838798.08,759546.23,1330244.95,3,0.433,56,14978.54,7,0.651,0.557,1,0,1,1,38,1
Fashion,Enugu,Vehicle,94,943330.76,722065.41,1262147.05,12,0.261,64,14739.54,10,0.815,0.653,2,0,1,1,64,0
Retail,Oyo,None,91,393780.87,262904.42,764405.39,9,0.359,47,8378.32,7,0.641,0.438,1,0,1,0,24,0
Food Services,Kaduna,Equipment,154,1358955.12,799277.09,1952284.96,12,0.271,46,29542.5,11,0.462,0.517,1,0,1,1,63,0
Tech,Delta,Equipment,107,3716747.81,3218304.84,11037458.34,3,0.334,61,60930.29,7,0.723,0.601,1,0,1,0,31,0
Agric,Kaduna,Property,174,530729.42,354002.78,1065444.27,18,0.351,70,7581.85,10,0.381,0.705,1,0,1,1,36,0
Retail,Rivers,Equipment,43,401393.95,343555.67,537567.71,9,0.19,64,6271.78,6,0.179,0.326,0,0,1,0,56,0
Trading,Oyo,Property,51,393643.66,370950.6,696912.67,9,0.279,68,5788.88,8,0.251,0.958,0,0,1,0,32,0
Trading,Kaduna,Inventory,44,787738.17,535203.47,1931165.52,3,0.212,49,16076.29,5,0.131,0.435,0,0,1,1,60,0
Retail,Abuja,Inventory,117,454436.38,296898.54,1143040.71,9,0.186,48,9467.42,5,0.698,0.363,3,0,1,1,40,0
Tech,Enugu,Equipment,6,153691.78,88609.73,321639.05,9,0.328,55,2794.4,7,0.441,0.864,1,1,1,1,25,0
Fashion,Lagos,Inventory,154,196599.38,140353.91,99445.14,3,0.354,47,4182.97,7,0.279,0.66,2,1,0,1,64,0
Trading,Delta,Inventory,139,1826973.13,1451179.94,4880818.54,12,0.227,47,38871.77,2,0.441,0.597,1,0,1,1,47,0
Fashion,Oyo,None,177,2311979.49,1481410.18,6414598.74,6,0.152,56,41285.35,5,0.793,0.798,8,1,1,0,61,0
Agric,Enugu,None,172,3078338.71,2211938.81,8247247.33,9,0.441,46,66920.41,9,0.837,0.554,1,0,1,0,61,0
Trading,Kaduna,Inventory,13,894190.39,663205.6,1947358.91,3,0.292,60,14903.17,3,0.298,0.403,1,0,1,1,63,0
Transport,Rivers,None,134,298995.87,186530.61,169754.5,12,0.346,44,6795.36,7,0.453,0.213,3,0,1,1,60,0
Fashion,Kano,Inventory,91,491779.37,251092.78,1414824.98,3,0.173,65,7565.84,10,0.312,0.314,1,0,1,0,39,0
Transport,Kaduna,None,132,190565.48,113773.45,127587.17,12,0.336,63,3024.85,8,0.517,0.406,0,0,1,1,29,0
Trading,Rivers,Inventory,157,184074.75,158565.18,160828.06,9,0.379,69,2667.75,6,0.098,0.631,1,0,1,1,58,1
Trading,Kaduna,Equipment,105,917801.52,573743.48,1899622.22,18,0.164,64,14340.65,7,0.48,0.894,0,0,1,1,39,0
Retail,Abuja,Inventory,1,1184830.63,599784.81,1960330.03,9,0.307,53,22355.29,10,0.536,0.24,2,0,1,0,55,0
Tech,Oyo,Equipment,155,4250453.33,2938027.66,10145386.54,12,0.193,61,69679.56,14,0.725,0.454,2,0,0,0,22,0
Food Services,Oyo,None,79,676857.32,546299.7,1409799.51,24,0.194,65,10413.19,8,0.479,0.851,2,0,1,1,52,0
Retail,Enugu,None,83,214904.42,180215.46,109703.32,6,0.334,70,3070.06,8,0.342,0.409,1,0,1,1,30,0
Agric,Kaduna,Equipment,105,653613.62,448545.13,1377188.32,3,0.336,71,9205.83,9,0.856,0.955,3,0,1,1,49,0
Food Services,Abuja,Property,164,565681.64,428411.23,1496538.97,12,0.316,63,8979.07,11,0.184,0.323,1,1,1,1,45,0
Agric,Rivers,Equipment,95,468781.24,391656.75,1233066.24,3,0.303,49,9566.96,8,0.651,0.458,4,0,1,0,55,0
Trading,Kano,Equipment,38,993882.84,894652.26,888054.32,6,0.291,60,16564.71,8,0.252,0.535,3,1,1,0,28,1
Retail,Oyo,Equipment,132,244501.01,192655.71,334576.15,18,0.294,62,3943.56,7,0.053,0.632,0,0,1,1,42,0
Retail,Kaduna,Equipment,114,820483.67,665320.56,655421.65,18,0.25,68,12065.94,10,0.097,0.458,1,0,1,1,55,0
Transport,Kaduna,Equipment,12,1311139.2,713789.17,3118814.47,3,0.227,54,24280.36,5,0.687,0.256,2,1,1,0,26,0
Food Services,Abuja,Equipment,96,2617588.4,1804048.81,5415531.9,12,0.23,57,45922.6,6,0.685,0.455,0,0,1,0,28,0
Food Services,Delta,None,141,964474.11,868057.06,1650296.31,12,0.422,63,15309.11,12,0.841,0.653,1,0,1,0,52,1
Retail,Lagos,None,159,1865068.62,1067423.58,2330211.92,6,0.23,48,38855.6,8,0.356,0.924,1,0,1,1,53,0
Food Services,Lagos,Inventory,51,489183.8,312824.11,1207181.08,18,0.262,56,8735.42,6,0.868,0.869,1,0,1,1,54,0
Transport,Lagos,Inventory,94,554675.62,446560.25,1374809.87,18,0.301,54,10271.77,13,0.053,0.824,2,1,1,0,51,0
Trading,Delta,Property,148,2453588.82,2222787.78,4239679.46,12,0.373,64,38337.33,1,0.295,0.982,4,0,1,1,51,0
Food Services,Rivers,None,105,212261.44,111770.12,172155.02,6,0.383,64,3316.58,6,0.799,0.306,3,1,0,1,35,1
Trading,Oyo,None,76,507460.28,452513.19,844108.19,6,0.367,67,7574.03,6,0.315,0.784,1,0,1,0,40,0
Transport,Kaduna,Property,33,2013936.21,1206640.26,5518521.61,12,0.241,55,36617.02,8,0.687,0.595,0,0,1,1,63,0
Fashion,Kaduna,None,8,603197.2,535268.22,1182395.28,3,0.199,59,10223.68,7,0.301,0.946,4,0,1,0,34,1
Agric,Delta,Property,124,564083.84,507763.46,1345341.06,9,0.395,64,8813.81,8,0.181,0.954,2,0,1,0,23,0
Agric,Lagos,None,173,574468.82,487705.12,710428.31,24,0.412,59,9736.76,2,0.277,0.593,2,2,0,1,32,0
Tech,Kano,Inventory,108,810524.3,742211.24,1100618.03,12,0.424,66,12280.67,6,0.711,0.891,1,0,1,0,55,0
Food Services,Oyo,Inventory,140,1938597.74,1807783.37,1536924.18,24,0.408,71,27304.19,8,0.513,0.629,0,0,1,1,25,0
Agric,Enugu,None,122,1675811.97,1535603.06,2274098.11,6,0.258,62,27029.23,11,0.301,0.866,0,0,1,1,47,0
Transport,Oyo,None,63,736976.67,538662.2,680991.32,18,0.196,73,10095.57,4,0.747,0.983,3,1,1,0,51,0
Tech,Oyo,None,94,1949629.11,1381613.53,3601841.49,18,0.351,56,34814.81,7,0.233,0.601,2,1,0,1,48,1
Trading,Abuja,None,49,992134.21,543037.53,1472836.85,6,0.345,81,12248.57,11,0.631,0.806,2,1,1,0,54,1
Transport,Lagos,None,40,1580431.0,943898.09,4092335.19,6,0.224,53,29819.45,8,0.182,0.7,1,0,0,1,45,1
Fashion,Kano,Property,106,289082.52,229405.6,421141.28,9,0.336,61,4739.06,4,0.32,0.735,2,0,1,0,42,0
Transport,Abuja,None,116,3487506.12,1943600.48,3595081.4,12,0.449,72,48437.58,4,0.288,0.732,2,0,1,0,64,0
Agric,Oyo,Inventory,177,889301.63,821778.06,631926.33,18,0.201,62,14343.57,12,0.412,0.819,1,1,1,1,27,0
Agric,Kaduna,None,43,61483.34,37023.47,69564.0,24,0.264,60,1024.72,4,0.44,0.395,0,0,1,0,24,0
Retail,Oyo,Vehicle,52,3248079.5,1752562.83,7286768.46,3,0.267,75,43307.73,11,0.722,0.584,3,0,1,1,60,0
Tech,Oyo,Property,30,732742.36,443939.57,1513535.89,12,0.214,54,13569.3,3,0.443,0.4,1,0,1,1,50,0
Tech,Lagos,Vehicle,170,510964.52,266728.7,1047408.21,24,0.386,64,7983.82,13,0.782,0.861,1,1,1,1,27,0
Agric,Enugu,Vehicle,140,422897.55,243056.28,1118744.52,6,0.362,63,6712.66,7,0.829,0.863,0,0,0,1,35,0
Tech,Kano,None,60,1083331.62,828161.34,1226356.86,24,0.215,69,15700.46,8,0.553,0.498,1,1,1,1,54,0
Retail,Lagos,Equipment,174,327895.41,206614.62,549874.53,24,0.407,59,5557.55,8,0.432,0.552,1,1,1,1,43,0
Transport,Rivers,None,127,433993.22,373460.8,399473.86,3,0.278,52,8346.02,6,0.37,0.333,0,0,0,1,43,0
Fashion,Kaduna,Property,86,443480.76,302511.61,464318.64,6,0.315,59,7516.62,5,0.625,0.243,1,1,1,0,24,1
Transport,Delta,Inventory,69,560720.4,460510.73,800314.08,6,0.355,49,11443.27,7,0.301,0.615,4,0,1,1,26,0
Trading,Oyo,Inventory,102,458773.81,375612.91,1040361.25,3,0.412,63,7282.12,12,0.468,0.956,1,0,1,1,57,0
Food Services,Delta,Vehicle,16,1571486.77,881761.55,4061151.6,9,0.218,75,20953.16,12,0.676,0.449,1,0,1,1,62,0
Trading,Rivers,Property,31,930945.55,489176.16,1180471.53,9,0.328,41,22705.99,9,0.212,0.725,1,1,1,1,41,0
Food Services,Abuja,Vehicle,168,1038962.38,913141.23,1552636.54,9,0.351,64,16233.79,9,0.102,0.485,0,0,1,1,60,0
Trading,Delta,None,37,1263684.21,1030386.56,3436149.01,18,0.416,56,22565.79,6,0.469,0.288,3,0,1,0,31,0
Tech,Rivers,None,30,670792.52,388215.41,1643844.31,9,0.382,56,11978.44,10,0.454,0.283,1,1,0,0,48,1
Trading,Enugu,None,154,291187.19,234695.81,648135.39,6,0.424,55,5294.31,11,0.81,0.389,1,0,1,1,45,0
Trading,Rivers,Inventory,170,3703005.08,2400512.26,5620637.71,18,0.173,54,68574.17,8,0.344,0.204,2,0,1,0,31,0
Transport,Abuja,Inventory,147,1680801.28,883327.19,2273531.79,12,0.278,52,32323.1,6,0.101,0.897,1,1,1,0,45,0
Fashion,Kano,None,19,3114391.4,1877801.2,7189803.65,9,0.242,55,56625.3,12,0.447,0.363,1,0,1,1,38,0
Trading,Abuja,Property,151,1850718.65,1554811.29,1357161.94,12,0.299,62,29850.3,9,0.451,0.258,2,2,1,1,63,0
Food Services,Kaduna,None,48,481983.78,325737.78,895846.74,6,0.393,62,7773.93,8,0.805,0.519,1,1,1,0,39,1
Retail,Delta,Equipment,2,88152.17,65689.93,57476.37,18,0.298,59,1494.1,2,0.844,0.967,2,0,1,1,49,0
Retail,Oyo,Property,165,241304.09,135478.73,496686.82,6,0.161,60,4021.73,4,0.847,0.357,2,0,1,1,29,0
Retail,Oyo,Equipment,48,1293509.78,700690.63,2484869.25,3,0.351,67,19306.12,7,0.153,0.228,2,0,1,1,37,0
Tech,Lagos,Inventory,118,665588.49,404453.84,432287.59,9,0.153,54,12325.71,8,0.167,0.297,1,0,1,0,33,0
Agric,Rivers,None,14,499885.89,356239.65,774654.55,6,0.179,72,6942.86,4,0.81,0.366,0,0,1,1,30,0
Retail,Lagos,None,34,77188.2,68014.08,75731.26,12,0.368,71,1087.16,9,0.088,0.836,0,0,1,1,52,0
Agric,Kaduna,Equipment,158,720849.36,608055.34,1798739.4,9,0.399,43,16763.94,9,0.176,0.826,5,0,1,1,39,0
Trading,Rivers,Inventory,106,275515.54,157602.87,766816.76,24,0.245,54,5102.14,7,0.874,0.764,2,0,0,0,60,0
Retail,Abuja,None,179,380049.08,202247.76,489007.11,9,0.321,53,7170.74,9,0.227,0.852,2,2,1,1,45,0
Transport,Kaduna,Vehicle,33,1567658.54,942912.88,898734.51,3,0.314,59,26570.48,4,0.803,0.305,0,0,1,1,41,1
Fashion,Enugu,Equipment,160,288881.61,255240.72,792730.54,12,0.167,54,5349.66,5,0.656,0.984,3,0,1,0,61,0
Retail,Oyo,Property,157,314795.85,230471.92,822028.21,18,0.313,55,5723.56,3,0.283,0.368,2,0,1,1,63,0
Retail,Lagos,Inventory,166,862010.12,744006.25,2148234.25,6,0.153,62,13903.39,4,0.348,0.465,2,0,1,0,45,0
Fashion,Oyo,Vehicle,9,1599378.83,1065685.29,2224651.31,6,0.396,62,25796.43,5,0.241,0.946,1,0,0,1,46,0
Transport,Oyo,None,19,507658.72,388713.97,354988.7,6,0.374,53,9578.47,7,0.838,0.932,1,1,1,1,33,1
Fashion,Abuja,None,95,2731861.67,2097058.37,8023962.64,18,0.235,45,60708.04,5,0.386,0.868,2,0,1,1,55,0
Food Services,Enugu,Property,21,230774.83,180472.3,400054.28,6,0.229,62,3722.17,11,0.768,0.915,0,0,1,0,44,0
Fashion,Delta,Property,12,197077.03,140233.72,274238.22,6,0.207,57,3457.49,6,0.44,0.551,1,0,0,0,64,0
Food Services,Abuja,Inventory,146,182525.03,110912.76,445913.48,3,0.436,65,2808.08,13,0.566,0.359,1,0,1,1,34,0
Retail,Abuja,None,125,164890.12,114238.87,358925.02,9,0.404,74,2228.24,9,0.852,0.443,1,0,1,1,42,1
Retail,Abuja,None,152,987462.76,926873.33,597083.13,24,0.401,84,11755.51,5,0.304,0.427,4,0,1,1,38,1
Retail,Kaduna,Property,168,302546.3,188320.1,876172.33,9,0.29,68,4449.21,13,0.52,0.721,2,0,1,0,23,0
Agric,Lagos,Property,26,205012.63,169375.85,387506.53,3,0.393,64,3203.32,9,0.874,0.759,0,0,1,1,63,0
Fashion,Delta,None,149,1026655.54,949787.91,996468.19,18,0.327,59,17400.94,9,0.218,0.486,1,0,1,1,35,0
Fashion,Kaduna,None,8,1531187.79,1155763.59,826725.27,9,0.24,54,28355.33,7,0.182,0.629,2,0,1,0,21,0
Fashion,Kano,Equipment,67,1878102.58,1352611.72,3531948.29,3,0.279,48,39127.14,11,0.211,0.477,0,0,1,1,36,0
Agric,Oyo,Equipment,54,1603590.95,888993.95,3183289.39,3,0.273,60,26726.52,5,0.8,0.806,1,0,1,1,60,0
Tech,Delta,Inventory,43,319242.69,267835.11,239132.45,9,0.256,62,5149.08,11,0.267,0.259,3,0,1,1,49,0
Agric,Kaduna,Inventory,129,935168.37,851163.09,1741582.89,3,0.223,49,19085.07,9,0.393,0.368,1,0,1,1,40,1
Food Services,Abuja,Vehicle,22,1140736.22,1073784.32,1801574.84,12,0.269,57,20012.92,10,0.836,0.52,2,0,1,1,48,0
Agric,Lagos,None,145,475729.68,281035.35,758345.14,9,0.33,52,9148.65,0,0.612,0.903,0,0,1,0,57,0
Agric,Enugu,Inventory,157,846001.91,773266.84,2485683.97,12,0.209,59,14339.02,3,0.317,0.949,4,1,1,1,39,0
Tech,Rivers,Equipment,120,236462.19,157630.56,293145.56,6,0.193,74,3195.44,5,0.103,0.97,0,0,1,0,60,0
Food Services,Lagos,Inventory,15,414637.47,322844.46,1123833.99,3,0.357,63,6581.55,8,0.121,0.964,0,0,1,1,48,0
Food Services,Delta,Property,107,1019281.55,612224.11,1387545.92,3,0.308,58,17573.82,5,0.591,0.313,3,0,1,1,24,0
Trading,Kano,Equipment,113,2832834.59,1733058.51,2687663.88,3,0.256,54,52459.9,7,0.242,0.466,1,0,0,0,40,0
Retail,Enugu,Inventory,67,2056046.77,1600696.5,1810688.37,6,0.422,50,41120.94,12,0.475,0.785,0,0,1,0,60,0
Agric,Rivers,None,66,1322153.8,949537.54,3770247.35,18,0.288,57,23195.68,8,0.738,0.222,3,0,1,0,48,0
Retail,Lagos,Equipment,84,783659.61,731921.81,437462.2,12,0.25,56,13993.92,12,0.491,0.233,2,1,1,1,22,0
Tech,Lagos,None,179,681664.27,421956.16,714317.08,9,0.215,66,10328.25,13,0.172,0.734,3,0,1,1,62,1
Agric,Abuja,None,1,198225.4,177434.83,267839.18,6,0.247,54,3670.84,6,0.795,0.803,0,0,1,1,32,0
Trading,Lagos,Inventory,92,343878.65,243195.66,736587.99,3,0.232,61,5637.35,11,0.315,0.331,2,0,1,1,31,0
Tech,Kano,Inventory,57,354133.99,198509.57,509776.51,3,0.41,60,5902.23,3,0.777,0.612,2,0,1,0,29,0
Trading,Abuja,Vehicle,99,1223570.01,743449.73,674228.6,6,0.418,65,18824.15,11,0.853,0.995,0,0,1,1,55,1
Agric,Oyo,Equipment,1,1707349.96,1434284.65,3060252.77,9,0.274,62,27537.9,1,0.182,0.979,3,0,1,0,49,0
